REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1967-06,222.1159838,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1967.5,,,,,,1,,,209.2664657,235.4100338,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1968-06,219.7418227,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1968.5,,,,,,1,,,207.7892937,232.1287236,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1969-06,217.0748689,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1969.5,,,,,,1,,,206.0736328,228.9108419,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1970-06,214.3827224,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1970.5,,,,,,1,,,203.9960253,225.6847176,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1971-06,211.4433217,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1971.5,,,,,,1,,,201.5094457,222.1909131,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1972-06,208.1711312,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1972.5,,,,,,1,,,198.5966916,218.5517089,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1973-06,204.5163123,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1973.5,,,,,,1,,,195.4932963,214.6263758,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1974-06,200.5500854,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1974.5,,,,,,1,,,191.895714,210.22288,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1975-06,196.0849399,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1975.5,,,,,,1,,,187.791596,205.3648888,,,B3,B3
IND,India,MRY0T4,Under-five mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2024,2024,,,1976-06,191.2939255,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1976.5,,,,,,1,,,183.327288,200.0175197,,,B3,B3
